,Name,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,DRAPG,DRA%,HERPG,HER%,DRA@15,TD@15,GD@15,PPG,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM
85,Fnatic TQ,S13,ES,7,57.1%,1.07,1837,120,33:36,11.1,10.4,6.4,5.0,42.9,85.7,3.14,66.9,1.29,64.3,1.29,0.6,1696,5.57,0.71,57.1,33.9,2252,2.9,1.06,1.32
86,For The Win Esports,S13,PT,4,75.0%,1.46,1920,205,32:08,17.5,12.0,8.5,3.5,50.0,75.0,2.50,47.9,1.75,87.5,0.75,0.5,2890,7.50,1.00,62.5,33.2,2379,3.1,1.07,1.40
87,Forsaken,S13,PL,7,71.4%,1.21,1858,92,33:27,17.0,14.0,7.1,5.1,28.6,57.1,3.43,70.2,0.57,28.6,1.57,0.1,827,4.43,0.71,57.1,32.4,2410,3.2,0.78,1.32
88,Fox Gaming,S13,AL,3,100.0%,1.91,1923,277,33:54,21.7,11.3,9.7,2.7,33.3,66.7,4.00,88.9,1.00,50.0,1.67,0.3,1385,3.00,1.33,66.7,30.3,2900,3.0,0.82,1.49
89,Frank Esports,S13,PCS,3,66.7%,1.28,1796,167,34:01,10.7,8.3,7.3,3.0,33.3,66.7,3.67,73.3,1.00,50.0,1.33,0.0,573,6.33,1.33,83.3,31.9,2232,3.5,1.23,1.58
90,Funplus Phoenix,S13,CN,11,36.4%,0.87,1750,-121,32:50,12.5,14.5,4.9,7.4,27.3,54.5,1.73,35.5,-,-,-,-,-,-,0.45,36.7,31.8,1919,-,-,-
91,FURIA Academy,S13,BR,4,75.0%,1.30,1850,124,33:07,15.0,11.5,8.0,4.8,50.0,25.0,1.75,44.6,0.75,37.5,1.00,-0.3,-132,3.00,1.25,66.7,31.3,2206,3.4,1.33,1.51
92,FURIA Esports,S13,BR,6,33.3%,0.82,1732,-95,35:57,11.7,14.2,5.7,8.5,66.7,50.0,1.83,36.9,1.00,50.0,0.50,-0.2,-387,3.17,0.67,27.8,31.4,1969,3.6,1.57,1.79
93,FUT Esports,S13,TR,4,75.0%,0.86,1722,-10,33:07,9.3,10.8,6.8,5.5,75.0,50.0,2.75,58.3,1.25,62.5,1.00,-0.5,-862,3.25,0.75,37.5,32.3,1765,2.9,1.25,1.47
94,G2 Esports,S13,EUW,8,75.0%,1.54,2034,370,28:32,17.4,11.3,8.1,3.4,25.0,87.5,2.75,81.3,1.75,87.5,1.00,0.5,3266,7.25,1.00,78.6,32.5,2425,3.2,1.04,1.54
95,Galakticos,S13,TR,4,50.0%,0.67,1748,-95,33:54,10.0,15.0,6.5,7.0,25.0,25.0,2.25,40.5,1.00,50.0,0.75,-0.3,-2218,2.00,0.75,50.0,32.3,1869,3.2,1.11,1.26
96,GamerLegion,S13,DE,6,50.0%,1.38,1752,35,33:45,12.8,9.3,6.3,6.0,66.7,50.0,2.33,53.6,0.83,41.7,0.67,0.3,448,3.83,0.67,33.3,31.2,2116,3.1,1.03,1.39
97,Gamespace Mediterranean College Esports,S13,GR,4,0.0%,0.49,1580,-385,29:38,7.8,15.8,2.5,10.0,25.0,25.0,1.00,23.3,0.75,37.5,0.75,-0.8,-2291,3.50,0.50,25.0,30.5,1616,2.9,0.90,1.15
98,GameWard,S13,FR,6,66.7%,1.16,1785,110,37:34,14.7,12.7,7.7,4.2,83.3,16.7,3.17,62.6,1.33,66.7,0.67,-0.5,-571,3.67,1.00,69.4,31.7,2371,3.6,1.10,1.39
99,Geekay Esports,S13,AL,3,100.0%,5.14,2091,551,27:47,24.0,4.7,9.7,1.7,66.7,100.0,3.33,91.7,2.00,100.0,1.67,1.3,5287,10.00,1.00,83.3,31.4,2703,2.9,0.96,1.27
100,Gen.G Challengers,S13,KR,16,31.3%,0.90,1745,-91,31:07,11.4,12.7,4.8,7.3,62.5,25.0,1.69,40.6,0.56,28.1,0.75,-0.4,-1293,2.56,0.63,42.9,32.6,1944,3.4,1.31,1.51
101,Gen.G eSports,S13,KR,14,71.4%,1.49,1910,233,33:33,14.9,9.9,7.9,4.2,57.1,71.4,2.79,60.4,1.29,71.4,0.79,0.4,1190,4.64,1.14,76.9,33.9,2547,3.4,1.32,1.98
102,GG&Esports,S13,IT,4,25.0%,0.65,1687,-224,30:31,11.5,17.8,4.3,7.5,50.0,25.0,1.75,38.8,0.75,37.5,0.50,-0.5,-2595,4.00,1.00,50.0,28.4,2163,2.7,0.92,1.17
103,Giants,S13,ES,7,28.6%,0.82,1754,-72,34:43,10.0,12.1,5.4,7.6,57.1,-,2.29,43.6,0.57,28.6,0.57,-0.3,-955,2.71,0.71,42.9,33.6,2182,3.1,1.18,1.58
104,GnG Esports,S13,AL,3,33.3%,0.86,1756,-141,30:10,14.3,16.7,4.0,6.0,33.3,66.7,1.00,25.0,1.67,83.3,0.33,0.0,-871,3.33,0.33,33.3,30.0,1838,2.8,1.04,1.38
105,Golden Guardians,S13,NA,4,0.0%,0.56,1662,-300,36:43,10.5,18.5,3.3,10.0,50.0,25.0,1.00,18.3,0.25,12.5,0.25,-0.5,-2368,2.50,0.25,12.5,30.9,2260,3.5,1.15,1.58
106,Golden Guardians Challengers,S13,NA,12,58.3%,1.06,1805,-41,30:58,16.5,15.4,6.0,6.1,41.7,41.7,2.42,59.9,0.92,45.8,0.92,-0.3,-1546,3.58,1.00,59.1,29.9,2229,2.6,0.90,1.14
107,Goskilla,S13,PL,7,85.7%,1.70,1958,304,31:15,19.4,11.3,8.3,3.3,71.4,57.1,3.57,76.9,1.00,50.0,1.57,0.3,2004,5.14,1.00,78.6,30.7,2659,2.9,1.01,1.01
108,Ground Zero Gaming,S13,OCE,5,20.0%,0.46,1597,-306,28:11,7.2,15.6,2.6,8.8,80.0,20.0,1.60,40.7,0.60,30.0,1.20,-0.2,-1102,2.60,0.20,20.0,29.8,1832,2.4,0.64,1.08
109,Grypciocraft Esports,S13,PL,7,85.7%,1.59,1972,314,29:53,18.6,11.7,9.3,2.7,71.4,100.0,2.71,65.0,1.43,71.4,1.14,0.4,1666,5.43,1.00,85.7,33.2,2511,2.7,0.96,1.29
110,GTZ Esports,S13,PT,3,100.0%,1.35,1863,268,33:38,16.7,12.0,9.7,1.7,33.3,100.0,1.67,44.4,1.67,83.3,0.33,0.3,87,3.67,2.00,100.0,29.0,2825,2.3,0.79,1.17
111,Guasones,S13,ES,7,0.0%,0.59,1645,-266,36:20,10.0,16.9,3.7,10.0,42.9,42.9,1.43,28.0,0.71,35.7,0.14,-0.3,-892,2.86,0.43,21.4,30.9,1970,2.8,1.00,1.36
112,Hanwha Life eSports,S13,KR,16,50.0%,0.96,1816,33,35:25,10.9,11.3,6.7,6.3,31.3,25.0,2.25,44.7,0.94,50.0,0.88,0.1,-171,4.31,1.00,52.6,33.5,2317,3.7,1.43,1.67
113,HEET,S13,BE,4,0.0%,0.46,1620,-345,30:41,9.5,20.8,2.5,9.0,50.0,50.0,2.00,47.5,0.50,25.0,1.00,-0.3,-1036,3.50,0.00,0.0,29.7,2183,2.7,0.89,1.14
114,HELL PIGS,S13,PCS,3,33.3%,0.78,1739,-101,32:19,10.7,13.7,4.3,7.0,66.7,100.0,2.00,41.7,1.67,83.3,1.67,0.7,987,4.67,0.67,50.0,32.0,1931,2.9,1.34,1.51
115,Hell Zerolag Esports,S13,GR,4,50.0%,0.85,1730,-74,28:57,10.3,12.0,5.8,6.3,75.0,75.0,2.50,52.5,0.25,12.5,1.25,-0.3,-152,4.75,0.50,50.0,31.8,1916,2.2,0.71,1.21
116,Heretics Academy,S13,ES,7,71.4%,1.74,1927,251,31:46,16.4,9.4,8.0,4.1,85.7,71.4,3.00,80.5,1.14,57.1,1.00,0.1,1062,4.57,0.86,64.3,33.1,2432,3.2,1.35,1.41
117,HLE Challengers,S13,KR,17,70.6%,1.65,1856,186,31:30,14.2,8.5,7.5,4.1,52.9,52.9,2.29,54.5,1.29,64.7,0.76,0.2,1093,4.47,1.00,68.8,32.0,2080,3.2,1.24,1.71
118,Illuminar Gaming,S13,PL,7,42.9%,0.96,1739,-38,32:12,12.4,13.0,5.0,6.0,57.1,28.6,2.14,45.7,1.00,50.0,0.86,0.0,-543,4.14,0.43,28.6,31.4,1969,2.9,1.10,1.38
119,Immortals,S13,NA,4,25.0%,0.70,1690,-160,30:44,7.5,10.8,4.5,7.3,50.0,50.0,1.25,26.3,0.75,37.5,0.50,0.0,-1151,3.50,0.25,12.5,32.6,1910,3.6,1.05,1.43
120,Immortals Challengers,S13,NA,12,33.3%,0.77,1780,-120,29:44,13.8,17.9,5.0,7.0,25.0,33.3,1.08,27.8,0.83,41.7,0.33,0.0,20,4.25,0.33,22.7,30.4,2268,2.7,0.86,1.11
121,Impunity,S13,PCS,3,100.0%,2.45,2007,375,30:36,18.0,7.3,10.0,1.3,33.3,66.7,2.67,61.7,1.00,50.0,1.00,0.3,2277,6.33,1.00,66.7,33.0,2608,2.8,1.30,1.51
122,Infinity eSports,S13,LAT,4,50.0%,0.76,1690,-84,31:21,7.3,9.5,5.5,5.3,50.0,25.0,1.75,41.3,0.50,25.0,1.00,-0.5,-1050,3.25,0.75,50.0,32.9,2016,2.8,1.26,1.48
123,Inside Games,S13,CZ,3,0.0%,0.54,1570,-322,33:44,9.7,18.0,2.7,9.0,33.3,100.0,2.00,40.0,0.67,33.3,1.00,0.0,-821,3.67,0.00,0.0,29.2,2142,2.4,0.66,1.27
124,INTZ Academy,S13,BR,4,25.0%,0.42,1629,-268,32:14,6.8,16.0,4.8,8.3,25.0,50.0,1.50,30.0,1.00,50.0,0.50,-0.3,-2134,4.25,0.75,25.0,30.1,2018,3.1,1.37,1.67
125,INTZ e-Sports,S13,BR,6,50.0%,1.16,1830,38,33:14,15.7,13.5,7.3,5.7,33.3,66.7,2.67,55.9,1.17,58.3,0.83,0.7,806,3.83,1.00,55.6,30.6,2356,3.5,1.34,1.69
126,Invictus Gaming,S13,CN,9,77.8%,1.74,1964,253,33:47,18.2,10.4,8.4,4.4,66.7,33.3,2.67,60.7,-,-,-,-,-,-,1.33,77.8,32.7,2579,-,-,-
127,Iron Wolves,S13,PL,7,42.9%,1.20,1733,-49,31:15,13.6,11.3,5.7,5.6,28.6,57.1,2.57,63.3,0.86,50.0,0.86,0.0,-1127,3.71,0.71,58.3,30.0,2015,2.8,0.90,1.31
128,Istanbul Wildcats,S13,TR,4,75.0%,1.38,1900,163,36:21,17.3,12.5,7.0,5.8,75.0,50.0,3.00,63.7,1.25,62.5,1.00,0.8,2108,5.50,0.75,50.0,32.2,2479,3.6,1.34,1.87
129,Isurus,S13,LAT,4,50.0%,0.70,1727,-140,31:56,12.3,17.5,4.8,7.8,75.0,25.0,1.25,30.0,0.75,37.5,0.25,-0.5,-1924,2.75,0.50,37.5,30.6,2184,2.9,1.18,1.15
130,IZI Dream,S13,FR,6,16.7%,0.85,1666,-131,36:33,11.7,13.7,4.7,8.8,66.7,50.0,1.67,32.2,0.33,16.7,0.50,0.0,178,2.50,0.50,30.6,30.6,1924,2.7,1.07,1.41
131,J Team,S13,PCS,3,33.3%,1.14,1660,-60,31:55,10.7,9.3,4.0,7.0,33.3,66.7,1.33,31.7,1.33,66.7,0.33,-0.3,481,5.67,0.33,33.3,28.0,1658,3.3,1.74,1.50
132,JD Gaming,S13,CN,7,85.7%,1.89,1983,341,30:55,16.4,8.7,8.9,3.3,57.1,57.1,2.86,76.7,-,-,-,-,-,-,1.14,72.2,32.7,2605,-,-,-
133,Joblife,S13,FR,8,87.5%,1.39,1850,156,35:06,17.8,12.5,7.8,4.4,50.0,-,2.88,59.6,0.50,25.0,1.25,-0.4,-560,2.00,1.13,72.9,30.3,2336,2.4,0.60,1.22
134,KaBuM! Academy,S13,BR,4,100.0%,3.50,1939,362,31:46,19.3,5.5,10.0,2.8,75.0,75.0,3.50,80.0,1.50,75.0,1.75,1.0,3505,6.00,1.50,100.0,30.2,2545,3.7,1.51,1.33
135,KaBuM! e-Sports,S13,BR,6,66.7%,1.28,1897,227,36:46,16.8,13.2,9.0,4.8,50.0,100.0,3.17,63.8,1.00,50.0,1.33,0.7,1872,5.00,1.50,88.9,31.8,2625,3.6,1.52,1.65
136,Kanga Esports,S13,OCE,5,0.0%,0.39,1532,-445,27:30,6.4,16.4,1.4,9.0,-,20.0,0.20,5.0,0.20,10.0,0.20,-1.4,-3917,1.20,0.00,0.0,30.0,1721,2.5,0.79,1.06
137,Karmine Corp,S13,FR,6,33.3%,0.61,1654,-180,32:21,9.0,14.7,4.5,7.8,33.3,50.0,2.00,41.4,1.17,58.3,0.67,0.3,-1221,4.33,0.33,25.0,30.1,2125,2.8,1.00,1.16
138,KDF Challengers,S13,KR,17,35.3%,0.72,1718,-128,30:27,10.0,13.9,5.2,6.4,41.2,64.7,2.12,47.6,1.29,64.7,1.00,0.3,390,4.24,0.53,32.3,31.3,2079,2.9,1.21,1.34
139,Klanik Esport,S13,FR,8,75.0%,1.25,1781,101,34:53,13.6,10.9,7.1,4.5,37.5,62.5,2.63,49.7,1.38,68.8,0.25,0.1,248,5.25,1.00,64.3,30.5,2184,2.9,1.12,1.25
140,KOI,S13,EUW,8,37.5%,0.75,1687,-140,34:38,9.5,12.8,4.9,7.5,87.5,37.5,1.75,39.0,0.75,37.5,0.63,-0.5,-827,4.75,0.50,26.2,31.6,2053,3.2,0.87,1.38
141,KOI Academy,S13,ES,7,42.9%,1.03,1758,5,35:49,11.4,11.1,7.1,7.1,57.1,28.6,1.57,37.1,0.86,42.9,0.71,-0.1,-241,2.86,0.86,57.1,31.9,1786,3.1,1.11,1.31
142,Komil & Friends,S13,PL,7,14.3%,0.53,1658,-317,31:34,11.0,20.6,3.0,9.3,42.9,28.6,1.71,35.3,0.43,21.4,1.14,-0.1,-2302,3.00,0.29,14.3,29.4,1953,2.8,0.87,1.36
143,KRC Genk Esports,S13,BE,4,75.0%,1.60,1935,244,32:38,16.8,10.3,9.5,2.8,50.0,100.0,2.50,49.2,1.50,75.0,1.00,0.3,1487,6.25,1.50,75.0,31.9,2422,2.7,1.06,1.39
144,KT Challengers,S13,KR,17,70.6%,1.39,1832,149,33:47,13.9,10.0,7.5,5.2,64.7,52.9,3.18,67.6,1.06,52.9,0.94,-0.1,660,4.53,0.94,66.7,32.3,2176,3.3,1.46,1.51
145,KT Rolster,S13,KR,15,53.3%,1.27,1811,68,30:53,10.4,8.2,6.1,5.2,60.0,66.7,2.07,49.6,1.00,50.0,0.53,0.2,647,4.60,0.60,53.6,34.1,1933,3.0,1.36,1.74
146,Kwangdong Freecs,S13,KR,14,28.6%,0.65,1704,-132,33:35,7.7,11.8,4.6,7.2,35.7,28.6,2.00,41.4,0.93,46.4,0.64,-0.4,-1094,4.43,0.29,23.1,33.1,2064,3.4,1.45,1.70
147,LDLC OL,S13,FR,6,83.3%,1.33,1857,151,37:39,14.2,10.7,8.3,4.8,50.0,50.0,3.00,51.7,0.33,16.7,0.67,0.0,298,3.50,1.83,83.3,33.0,2183,2.9,1.07,1.43
148,Levante UD Esports,S13,ES,6,50.0%,1.28,1843,75,36:04,17.7,13.8,7.0,5.3,83.3,83.3,2.83,57.0,0.83,41.7,0.83,-0.2,911,4.00,1.50,61.1,29.9,2333,2.9,1.14,1.09
149,LEX esports,S13,ES,6,33.3%,0.89,1709,-73,33:06,10.8,12.2,5.5,7.7,66.7,50.0,1.50,28.8,1.67,83.3,0.17,0.0,309,4.83,0.17,10.0,31.4,1975,3.1,1.06,1.26
150,LGD Gaming,S13,CN,8,37.5%,0.85,1748,-53,35:00,9.8,11.5,5.3,7.4,25.0,50.0,2.00,40.3,-,-,-,-,-,-,0.88,45.8,32.7,2285,-,-,-
151,Liberty,S13,BR,6,50.0%,0.68,1743,-121,37:00,12.8,18.8,6.2,7.7,50.0,66.7,2.83,53.1,0.67,33.3,1.33,0.0,-668,3.67,0.83,41.7,30.4,2269,3.8,1.35,1.72
152,Liberty Academy,S13,BR,4,25.0%,0.88,1757,-114,33:55,15.3,17.3,4.5,8.5,25.0,50.0,2.00,39.6,0.25,12.5,0.25,-0.3,-906,2.75,0.25,25.0,30.4,2387,3.3,1.33,1.25
153,Liiv SANDBOX,S13,KR,16,56.3%,0.94,1748,-47,34:13,10.0,10.6,5.8,6.5,62.5,43.8,2.50,50.4,0.88,43.8,1.19,-0.1,-416,2.56,0.63,44.4,33.1,2062,3.9,1.67,1.80
154,Lille Esport,S13,FR,8,50.0%,0.68,1795,-48,30:35,11.8,17.3,6.3,5.9,37.5,75.0,1.75,40.6,1.13,56.3,0.88,0.3,-190,5.00,0.38,42.9,31.8,2049,2.6,0.95,1.16
155,LNG Esports,S13,CN,6,100.0%,2.00,1944,266,32:04,17.0,8.5,8.8,3.3,33.3,66.7,3.17,65.0,-,-,-,-,-,-,1.17,83.3,33.6,2317,-,-,-
156,Los Grandes,S13,BR,6,83.3%,1.60,1927,266,34:35,18.7,11.7,8.5,3.8,50.0,33.3,3.00,63.9,1.00,50.0,1.00,-0.5,-54,5.83,1.33,77.8,32.1,2667,3.0,1.23,1.63
157,Los Grandes Academy,S13,BR,4,50.0%,1.22,1718,-80,33:28,16.8,13.8,5.5,7.3,25.0,-,1.75,35.0,0.50,25.0,0.75,-0.3,-1384,2.75,0.75,50.0,28.0,2260,3.3,1.57,1.40
158,LOUD,S13,BR,6,50.0%,0.82,1771,-51,32:14,12.8,15.7,5.7,7.3,33.3,33.3,2.00,53.3,0.83,41.7,1.00,-0.2,-567,4.17,0.33,20.0,31.3,2301,3.5,1.47,1.42
159,LOUD Academy,S13,BR,4,25.0%,0.59,1736,-121,35:17,11.3,19.0,5.5,8.3,75.0,25.0,2.75,50.8,1.00,50.0,0.75,0.0,194,4.25,0.75,33.3,30.1,2326,2.9,1.14,1.43
160,LSB Challengers,S13,KR,15,33.3%,0.83,1735,-99,34:51,13.9,16.7,5.5,7.5,66.7,26.7,1.93,39.6,0.80,40.0,0.73,-0.2,-1096,2.53,0.67,43.3,30.2,2339,2.8,1.26,1.54
161,Macko Esports,S13,IT,4,75.0%,1.18,1905,210,32:32,16.5,14.0,7.8,3.5,50.0,75.0,3.00,72.5,1.50,75.0,1.00,0.0,1125,6.00,1.25,75.0,31.8,2782,2.8,0.74,1.26
162,MAD Lions,S13,EUW,8,75.0%,1.42,1883,197,30:03,13.9,9.8,8.3,4.3,50.0,62.5,3.00,75.6,1.38,68.8,1.25,0.4,1205,5.63,0.63,57.1,32.3,2293,2.9,1.05,1.34
163,MAGAZA,S13,RS,5,60.0%,0.99,1839,153,34:22,13.6,13.8,7.0,4.8,40.0,60.0,3.00,59.3,1.00,50.0,1.20,0.2,-123,4.60,1.20,86.7,30.6,2263,2.7,0.84,1.39
164,MAMMOTH,S13,OCE,5,20.0%,0.52,1637,-348,23:39,8.4,16.2,2.2,7.2,40.0,20.0,1.20,35.0,1.00,50.0,0.80,0.0,-2052,3.00,0.20,33.3,29.2,1818,2.4,0.82,0.91
165,mCon LG UltraGear,S13,BE,4,75.0%,1.34,1795,103,35:02,16.8,12.3,7.0,5.3,100.0,75.0,2.50,50.0,1.25,62.5,0.75,-0.3,437,3.75,1.50,91.7,29.5,2358,2.6,0.86,1.15
166,MOUZ,S13,DE,6,66.7%,1.16,1787,85,31:32,11.0,9.5,7.0,4.8,33.3,66.7,2.83,60.6,1.33,75.0,1.00,0.7,1156,4.50,0.83,66.7,32.4,2073,2.9,0.96,1.43
167,Movistar R7,S13,LAT,4,100.0%,3.48,2063,559,26:52,18.3,5.3,9.8,1.3,75.0,75.0,2.50,76.7,1.50,87.5,1.00,0.8,3520,5.25,1.00,100.0,34.5,2429,3.1,1.25,1.33
168,Movistar Riders,S13,ES,7,71.4%,1.58,1942,229,33:26,17.1,10.9,8.3,4.6,71.4,71.4,3.29,75.5,1.14,57.1,1.14,0.0,1207,5.00,1.43,78.6,34.2,2113,3.2,1.02,1.50
169,MS Company,S13,FR,8,0.0%,0.49,1577,-353,33:26,8.6,17.8,2.1,9.6,75.0,12.5,1.63,32.9,0.50,25.0,0.88,-0.6,-1798,2.88,0.25,12.5,29.4,1922,2.0,0.62,1.12
170,NASR eSports Turkey,S13,TR,4,25.0%,0.80,1785,-58,37:58,12.3,15.3,6.3,6.3,25.0,50.0,2.25,37.9,0.75,37.5,0.75,-0.8,-906,2.75,1.50,62.5,32.8,2162,3.3,1.31,1.73
