,Name,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,DRAPG,DRA%,HERPG,HER%,DRA@15,TD@15,GD@15,PPG,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM
171,Nativz,S13,EUW,4,0.0%,0.57,1539,-365,33:05,7.8,13.5,2.3,9.8,50.0,50.0,1.00,20.8,0.50,25.0,0.75,0.0,-2731,2.25,0.25,12.5,28.9,1651,2.7,1.14,1.33
172,Nigma Galaxy Male,S13,AL,3,66.7%,1.11,1922,135,35:31,19.7,17.7,7.3,5.7,66.7,-,2.33,52.8,0.67,33.3,0.33,-0.3,-355,3.00,1.00,66.7,32.0,2834,2.6,0.91,1.10
173,Ninjas in Pyjamas,S13,CN,9,33.3%,0.86,1753,-100,30:12,11.6,13.4,5.6,6.7,66.7,44.4,1.89,44.1,-,-,-,-,-,-,0.44,37.0,31.2,2320,-,-,-
174,NNO Prime,S13,DE,6,33.3%,1.04,1727,-91,34:24,12.7,12.2,4.7,7.7,66.7,50.0,1.83,41.7,0.50,25.0,0.83,0.3,646,3.83,0.67,33.3,31.5,2280,3.1,1.07,1.56
175,Nongshim RedForce,S13,KR,15,26.7%,0.91,1708,-151,31:33,9.8,10.7,3.9,7.5,46.7,33.3,1.53,35.2,0.87,46.7,0.80,-0.5,-915,2.40,0.13,13.6,32.9,1961,3.2,1.50,1.58
176,Nord Esports,S13,EUW,4,100.0%,3.35,1991,467,27:14,16.8,5.0,9.8,1.3,75.0,50.0,2.25,70.8,1.75,87.5,0.50,0.5,2412,5.25,0.75,75.0,33.3,2390,2.9,0.94,1.05
177,Northern Lions,S13,BE,4,50.0%,0.97,1768,-59,36:28,16.8,17.3,6.5,6.5,50.0,25.0,2.50,45.0,1.25,62.5,1.00,0.0,-728,4.50,1.25,50.0,30.4,2187,2.3,0.82,1.27
178,NS Challengers,S13,KR,17,64.7%,0.98,1811,16,33:30,13.5,13.8,6.8,5.6,52.9,35.3,2.29,48.7,1.00,50.0,0.76,-0.3,-842,2.41,1.06,66.7,32.2,2241,3.1,1.43,1.67
179,Odivelas Sports Club,S13,PT,3,33.3%,0.71,1681,-137,30:06,12.0,17.0,3.7,6.3,66.7,66.7,2.00,50.0,0.33,16.7,1.00,0.0,-692,2.67,0.67,33.3,29.4,2062,2.5,0.81,1.51
180,OMG,S13,CN,6,66.7%,1.07,1830,62,33:40,13.5,12.7,7.0,5.3,50.0,33.3,2.17,45.4,-,-,-,-,-,-,1.00,85.0,32.5,2265,-,-,-
181,paiN Academy,S13,BR,4,25.0%,0.86,1779,-42,34:26,14.8,17.3,5.8,8.3,50.0,100.0,2.00,42.5,0.75,37.5,0.50,0.0,947,4.25,0.75,33.3,30.8,2359,3.4,1.37,1.34
182,paiN Gaming,S13,BR,6,33.3%,0.65,1673,-205,31:19,9.8,15.2,4.2,6.8,16.7,33.3,0.67,13.9,0.67,33.3,0.33,-0.7,-1577,3.83,0.33,25.0,31.6,1989,3.3,1.62,1.66
183,Panathinaikos AC eSports,S13,GR,4,25.0%,0.59,1603,-409,28:30,10.8,18.3,3.5,8.0,-,-,1.50,35.0,0.75,37.5,0.50,-0.8,-3888,2.25,0.00,0.0,27.9,2088,2.9,1.04,1.17
184,Papara SuperMassive,S13,TR,4,75.0%,2.42,1946,295,31:41,15.8,6.5,9.5,3.8,75.0,100.0,3.25,78.8,1.50,75.0,1.50,1.0,2909,5.75,1.25,87.5,33.5,2059,2.7,1.09,1.63
185,Partizan Esports,S13,RS,5,100.0%,2.63,1903,374,30:34,15.8,6.0,8.6,2.0,60.0,80.0,3.40,74.7,1.00,50.0,1.40,0.4,1627,4.20,1.00,80.0,32.8,2263,2.6,0.93,1.27
186,Pentagon Rejects,S13,GR,4,25.0%,0.84,1817,-20,31:51,13.3,15.8,5.3,6.5,50.0,75.0,2.50,57.1,0.75,37.5,1.25,0.3,902,5.25,1.00,58.3,31.1,2213,2.7,0.87,1.51
187,Pentanet.GG,S13,OCE,5,80.0%,1.29,1932,286,28:53,13.2,10.2,9.0,3.6,40.0,80.0,2.00,58.3,0.80,40.0,0.60,0.4,2264,5.60,1.20,73.3,31.9,2124,2.6,1.07,1.42
188,Project Conquerors,S13,FR,8,37.5%,1.14,1739,-67,31:27,14.3,12.5,5.1,6.8,75.0,37.5,2.50,52.2,1.38,68.8,1.00,0.1,473,4.25,0.50,35.4,30.2,1880,2.7,1.05,1.14
189,PSG Talon,S13,PCS,3,66.7%,1.17,1702,42,36:06,11.3,9.7,6.3,5.0,66.7,33.3,2.33,46.7,1.00,50.0,0.67,0.0,-42,3.67,1.00,66.7,30.3,1948,3.3,1.53,2.52
190,RA AD,S13,AL,3,33.3%,0.55,1696,-197,33:34,11.0,20.0,6.0,7.7,-,33.3,1.33,25.0,1.00,50.0,0.33,-0.7,-699,2.67,1.00,33.3,30.5,2443,2.9,0.80,1.31
191,Ramboot Club,S13,ES,6,66.7%,1.07,1857,102,35:02,14.8,13.8,8.2,6.2,66.7,33.3,2.83,54.5,1.33,66.7,1.00,0.0,-17,3.33,1.17,69.4,32.3,2051,2.4,0.87,1.21
192,Rare Atom,S13,CN,9,44.4%,0.74,1772,-106,32:48,11.7,15.8,5.1,7.1,66.7,22.2,1.67,34.1,-,-,-,-,-,-,0.78,35.2,32.0,2400,-,-,-
193,Rebels Gaming,S13,ES,7,71.4%,1.14,1803,40,33:53,12.6,11.0,7.1,5.4,57.1,28.6,2.14,41.3,1.29,64.3,0.57,-0.3,108,3.43,1.00,50.0,31.9,2091,3.2,1.22,1.38
194,RED Academy,S13,BR,4,75.0%,1.02,1828,168,32:44,12.0,11.8,9.3,4.5,50.0,50.0,3.50,82.1,1.25,62.5,1.50,0.0,479,4.50,1.25,91.7,31.9,2138,3.7,1.52,1.54
195,RED Canids,S13,BR,6,83.3%,1.94,1854,189,31:36,16.8,8.5,7.7,3.8,83.3,33.3,3.00,65.6,1.67,83.3,0.83,0.0,691,4.50,1.00,66.7,31.4,2288,3.2,1.25,1.44
196,Riddle Esports,S13,EUW,4,100.0%,4.14,1944,382,32:21,14.5,3.5,9.8,2.5,50.0,25.0,3.25,73.8,2.00,100.0,0.75,0.0,1398,3.75,1.25,100.0,35.0,1787,2.8,1.20,1.43
197,Royal Never Give Up,S13,CN,8,25.0%,0.58,1700,-171,30:29,8.1,14.1,4.8,7.3,50.0,87.5,1.50,33.1,-,-,-,-,-,-,0.25,14.3,32.0,1909,-,-,-
198,Ruddy Esports,S13,EUW,4,75.0%,1.82,1899,258,33:01,17.3,9.5,8.5,3.3,50.0,75.0,2.75,59.6,1.50,75.0,0.75,0.5,2068,4.75,1.25,62.5,32.3,2449,3.1,0.69,1.11
199,SEM9 WPE,S13,PCS,3,0.0%,0.35,1557,-453,32:16,7.3,20.7,1.0,10.0,33.3,33.3,1.00,20.0,0.67,33.3,0.33,-1.0,-3427,3.00,0.00,0.0,29.3,2020,3.9,1.22,1.66
200,Sengoku Gaming,S13,JP,4,100.0%,3.70,2006,430,28:08,18.5,5.0,9.3,2.5,75.0,75.0,3.75,100.0,0.75,37.5,1.50,0.0,1264,6.50,1.00,100.0,32.9,2644,2.9,0.97,1.21
201,seQura ZEST,S13,ES,6,16.7%,0.64,1629,-257,32:05,9.3,14.5,3.7,8.5,50.0,50.0,2.00,45.8,1.00,50.0,1.17,0.0,-450,3.33,0.67,40.0,30.2,1811,2.9,0.77,1.24
202,SINNERS Esports,S13,CZ,3,66.7%,1.51,1816,131,32:13,19.7,13.0,6.7,5.0,33.3,33.3,1.33,36.7,1.00,50.0,0.00,-0.3,-1111,2.00,0.67,66.7,29.8,2694,2.7,1.09,1.19
203,Six Karma,S13,LAT,5,80.0%,1.83,1855,185,33:03,13.2,7.0,8.4,4.4,60.0,80.0,2.80,56.0,1.80,90.0,0.80,0.4,2058,6.20,1.00,70.0,33.7,2187,2.8,1.31,1.49
204,SK Gaming,S13,EUW,8,62.5%,1.37,1796,39,33:39,14.8,10.8,7.9,5.8,37.5,50.0,2.13,44.2,1.00,50.0,0.88,-0.1,43,3.75,1.00,56.3,31.0,2386,3.5,1.20,1.36
205,SK Gaming Prime,S13,DE,6,50.0%,1.16,1888,166,37:31,18.2,15.7,7.7,5.5,50.0,50.0,2.17,46.2,1.17,58.3,0.50,0.0,216,3.33,1.50,86.1,32.0,2545,3.4,1.21,1.57
206,SoftBank Hawks Gaming,S13,JP,7,85.7%,1.75,1903,334,31:20,12.7,7.3,9.6,2.7,85.7,85.7,3.00,82.1,1.57,78.6,1.57,0.6,2745,6.00,1.00,78.6,31.3,2171,3.8,1.22,1.64
207,Solary,S13,FR,6,50.0%,0.95,1846,111,31:50,11.5,12.2,7.2,4.8,50.0,66.7,2.00,44.9,1.33,66.7,0.83,0.2,1663,5.67,1.00,58.3,32.2,2172,3.0,1.07,1.24
208,T1,S13,KR,16,68.8%,1.18,1873,173,31:17,12.3,10.1,7.8,3.8,68.8,87.5,2.69,65.0,0.94,46.9,1.06,0.6,1559,6.19,1.06,78.3,32.7,2325,3.6,1.43,1.63
209,T1 Challengers,S13,KR,17,52.9%,0.95,1786,55,34:23,10.4,10.9,7.1,6.1,47.1,58.8,2.47,54.0,1.24,61.8,1.18,0.1,783,5.18,0.65,50.0,32.4,2140,3.5,1.29,1.71
210,Team 7AM,S13,BE,4,50.0%,1.00,1811,-34,34:59,17.8,17.8,6.5,5.3,50.0,50.0,3.00,59.5,1.75,87.5,0.75,0.0,1063,5.50,0.75,25.0,30.1,2683,2.8,0.89,1.18
211,Team Aze,S13,LAT,4,0.0%,0.55,1642,-270,33:53,8.3,15.0,3.5,9.5,25.0,50.0,1.75,35.0,1.00,50.0,0.50,0.0,-448,1.75,0.25,12.5,32.0,1940,3.3,1.34,1.51
212,Team BDS,S13,EUW,8,50.0%,1.52,1794,45,38:36,16.9,11.1,7.6,7.3,87.5,50.0,3.00,54.9,0.50,25.0,1.25,0.6,526,4.13,1.25,68.8,31.4,2217,2.8,1.04,1.73
213,Team BDS Academy,S13,FR,6,50.0%,0.93,1787,-8,29:22,10.3,11.2,6.0,5.5,33.3,50.0,2.83,68.1,0.83,41.7,1.33,-0.5,-2511,3.50,0.50,60.0,32.6,2237,3.1,1.21,1.37
214,Team Bliss,S13,OCE,5,60.0%,0.96,1900,119,28:34,14.8,15.4,7.0,4.4,60.0,80.0,2.60,70.7,1.60,90.0,1.40,0.8,2787,7.00,0.80,50.0,32.1,2383,2.5,0.87,1.20
215,Team du Sud,S13,FR,8,87.5%,2.71,1915,313,30:12,17.6,6.5,8.6,3.1,37.5,62.5,3.25,83.1,0.88,43.8,1.13,0.1,1229,3.63,0.88,68.8,32.0,2288,2.6,0.94,1.19
216,Team ESCA Gaming,S13,PL,7,28.6%,0.70,1715,-181,33:11,11.6,16.4,4.7,8.0,28.6,28.6,1.57,31.4,1.14,57.1,0.57,-0.6,-1666,3.86,0.71,42.9,30.1,1871,2.2,0.57,1.39
217,Team GO,S13,FR,6,50.0%,1.13,1785,2,35:54,15.0,13.3,6.3,6.5,83.3,66.7,1.83,35.5,1.17,58.3,0.50,-0.2,544,2.83,1.00,47.2,31.7,2151,3.2,1.10,1.53
218,Team Heretics,S13,EUW,8,50.0%,0.92,1864,-36,32:31,16.1,17.5,7.5,6.8,37.5,37.5,2.38,50.0,1.25,62.5,0.63,0.1,-1307,5.13,1.25,66.7,30.9,2563,3.1,1.08,1.56
219,Team Liquid,S13,NA,4,50.0%,1.00,1812,20,34:36,14.3,14.3,6.8,5.8,50.0,75.0,2.75,59.6,1.75,87.5,0.75,0.5,2112,7.00,0.50,50.0,32.2,2428,3.0,1.35,1.94
220,Team Liquid Challengers,S13,NA,12,75.0%,1.62,1965,294,30:49,17.3,10.7,8.7,4.5,75.0,91.7,2.83,69.0,1.67,83.3,1.00,0.7,2366,6.58,1.00,78.3,31.8,2232,3.1,1.12,1.19
221,Team Liquid First,S13,NA,12,25.0%,0.62,1716,-240,28:58,11.4,18.4,3.8,8.0,50.0,33.3,1.50,39.0,0.92,45.8,0.50,-0.2,-601,4.33,0.17,16.7,31.2,2125,2.5,0.58,0.98
222,Team Phantasma,S13,GR,4,75.0%,1.91,1998,365,27:12,16.8,8.8,7.8,2.8,75.0,100.0,2.50,68.8,1.75,87.5,1.25,1.3,2971,6.00,0.75,75.0,33.0,2199,2.7,1.04,1.58
223,Team Sampi,S13,CZ,3,0.0%,0.20,1532,-552,24:52,4.0,20.0,1.3,9.7,33.3,-,0.67,27.8,0.00,0.0,0.33,-1.7,-5446,1.67,0.00,0.0,29.0,1450,1.9,0.45,0.96
224,Team Vitality,S13,EUW,8,75.0%,1.20,1892,115,33:35,15.8,13.1,8.3,5.6,50.0,50.0,2.50,49.6,1.00,50.0,0.88,0.1,1288,4.63,0.75,57.1,33.3,2465,3.0,1.01,1.72
225,Team WE,S13,CN,9,44.4%,1.02,1816,-14,35:04,12.9,12.7,6.3,6.3,44.4,55.6,2.67,59.8,-,-,-,-,-,-,1.11,56.5,32.3,2278,-,-,-
226,The Agency,S13,BE,4,50.0%,0.98,1719,-47,33:34,14.3,14.5,4.5,7.5,25.0,25.0,1.50,38.4,0.00,0.0,0.75,0.3,-1351,3.25,0.75,50.0,28.5,2370,2.6,0.83,1.04
227,The Kings,S13,LAT,4,0.0%,0.43,1599,-381,32:35,8.3,19.0,2.8,10.3,50.0,25.0,1.75,35.0,0.50,25.0,0.50,-0.5,-2680,2.50,0.25,12.5,30.0,1901,3.2,1.20,1.25
228,Top Esports,S13,CN,10,70.0%,1.52,1853,131,27:40,13.5,8.9,5.9,4.5,30.0,60.0,2.30,65.5,-,-,-,-,-,-,0.70,70.0,31.8,2218,-,-,-
229,Triple Esports,S13,AL,3,33.3%,0.74,1794,-95,31:03,13.0,17.7,6.0,7.7,66.7,66.7,1.67,41.7,0.67,33.3,1.00,0.3,-275,4.67,1.00,50.0,30.0,2490,2.7,0.66,1.21
230,TSM,S13,NA,4,50.0%,0.73,1716,-141,32:18,10.0,13.8,5.3,8.0,-,-,2.00,41.7,0.00,0.0,1.00,-0.8,-3668,1.00,0.75,50.0,30.3,2251,3.3,1.01,1.52
231,TSM Challengers,S13,NA,12,25.0%,0.82,1788,-117,31:25,14.3,17.5,5.4,7.3,58.3,66.7,1.67,40.6,1.50,75.0,0.83,0.3,612,6.50,0.42,25.0,30.7,2212,2.8,0.85,1.16
232,TT,S13,CN,7,28.6%,0.75,1740,-141,35:40,11.4,15.1,4.6,7.9,71.4,14.3,2.71,52.4,-,-,-,-,-,-,0.43,21.4,31.8,2406,-,-,-
233,UCAM Tokiers,S13,ES,7,28.6%,0.66,1709,-214,30:54,10.9,16.4,4.0,7.6,42.9,57.1,1.43,34.3,1.14,57.1,0.43,0.1,-701,3.57,0.71,35.7,31.7,1937,2.8,1.05,1.19
234,Ultra Prime,S13,CN,8,37.5%,0.70,1704,-148,32:22,10.1,14.5,4.4,7.4,50.0,12.5,2.38,53.3,-,-,-,-,-,-,0.38,42.9,31.5,2017,-,-,-
235,Unicorns Of Love Sexy Edition,S13,DE,6,83.3%,1.70,1962,254,28:34,15.3,9.0,8.0,3.7,66.7,50.0,2.33,55.8,1.17,58.3,1.17,-0.3,-232,4.33,0.83,66.7,34.5,2464,3.1,0.91,1.65
236,UniQ Esports Club,S13,EUW,4,25.0%,0.45,1629,-274,28:56,7.5,16.5,3.5,8.0,-,50.0,2.00,52.5,0.25,12.5,1.50,-0.8,-2282,2.50,0.50,37.5,30.5,1947,2.2,0.73,0.96
237,V3 Esports,S13,JP,6,0.0%,0.50,1548,-465,28:50,9.3,18.8,1.5,9.2,50.0,16.7,0.83,16.7,0.33,25.0,0.33,-1.2,-3965,1.33,0.33,11.1,27.4,1835,2.7,1.30,1.23
238,Valiance,S13,RS,5,20.0%,0.67,1626,-217,29:30,8.0,12.0,3.8,7.6,40.0,20.0,1.60,34.7,0.60,30.0,0.40,-0.4,-1192,2.60,0.40,20.0,31.4,1853,2.3,0.97,1.22
239,Vanir,S13,EUW,4,25.0%,0.93,1790,-21,31:54,14.3,15.3,5.0,7.8,75.0,75.0,1.75,43.3,1.50,75.0,0.75,0.5,2922,6.00,0.25,25.0,30.8,2102,2.6,0.84,1.38
240,Varona Esports,S13,PT,4,25.0%,0.59,1621,-232,32:13,9.8,16.5,2.3,8.3,75.0,-,2.00,39.6,0.50,25.0,0.75,-0.8,-3197,2.50,0.75,37.5,29.6,2077,2.6,1.15,1.40
241,Verdant,S13,EUW,4,75.0%,0.90,1755,16,32:58,11.3,12.5,7.3,5.8,75.0,75.0,2.50,54.2,0.50,25.0,0.75,0.0,-293,3.75,1.50,87.5,30.9,2061,2.9,1.01,0.98
242,Villarreal QLASH,S13,ES,6,50.0%,0.68,1725,-108,30:44,10.8,15.8,4.8,6.8,-,-,2.17,51.1,0.17,8.3,1.00,-0.8,-2815,3.33,0.67,41.7,32.1,1950,2.8,1.07,1.48
243,Vitality.Bee,S13,FR,6,83.3%,1.54,1882,154,37:10,18.5,12.0,8.2,5.3,50.0,50.0,2.83,62.7,1.50,75.0,0.67,0.3,1962,4.50,1.00,53.3,32.3,2328,2.9,0.82,1.40
244,ViV Esport,S13,FR,8,37.5%,0.77,1797,-37,31:48,11.1,14.4,5.9,6.1,50.0,75.0,2.13,43.5,1.13,56.3,0.88,0.3,794,4.25,0.63,41.7,32.8,1993,2.9,0.95,1.09
245,Vivo Keyd Stars,S13,BR,6,16.7%,0.67,1648,-205,34:22,11.2,16.7,4.0,8.2,66.7,50.0,2.00,41.9,1.00,50.0,0.67,0.3,291,4.17,0.67,40.0,29.8,1965,3.1,1.59,1.57
246,Vivo Keyd Stars Academy,S13,BR,4,100.0%,1.86,1954,254,38:52,22.8,12.3,10.5,4.8,75.0,75.0,3.75,65.4,1.50,75.0,1.00,0.3,853,5.50,1.75,75.0,30.8,2837,3.4,1.27,1.61
247,Webidoo Gaming,S13,IT,4,25.0%,1.26,1670,-156,32:32,13.3,10.5,3.5,8.5,75.0,-,2.00,40.7,0.75,37.5,0.75,-0.3,-736,2.50,0.25,25.0,30.3,1930,3.0,0.94,1.28
248,Weibo Gaming,S13,CN,8,62.5%,1.34,1883,165,30:33,14.9,11.0,6.8,4.5,37.5,37.5,2.25,55.2,-,-,-,-,-,-,1.00,66.7,32.7,2315,-,-,-
249,White Dragons,S13,PT,4,50.0%,1.33,1803,79,31:55,13.3,10.0,7.0,5.8,75.0,50.0,1.75,47.5,1.25,62.5,0.25,0.0,246,3.00,1.00,50.0,31.4,2128,2.9,0.97,1.45
250,Wild Panthers Esports,S13,GR,4,50.0%,0.82,1735,-176,26:01,10.5,12.8,5.0,6.5,25.0,-,1.00,26.7,1.00,50.0,0.25,-1.3,-3304,1.75,0.50,50.0,31.4,1853,2.3,0.86,1.16
251,Wildcard Gaming,S13,NA,12,66.7%,1.02,1857,27,31:20,15.3,14.8,6.0,5.8,41.7,33.3,2.50,57.9,0.67,33.3,1.17,-0.6,-1145,3.67,1.00,59.7,31.8,2528,2.7,0.60,1.13
252,Wizards Club,S13,ES,6,83.3%,2.15,1889,250,32:44,16.8,7.8,9.5,3.5,50.0,100.0,3.50,73.7,1.17,58.3,1.17,0.2,803,5.00,1.17,91.7,32.0,2500,2.7,0.96,1.42
253,WLGaming Esports,S13,GR,4,75.0%,1.34,1898,235,28:59,15.8,11.8,7.3,3.5,50.0,50.0,2.00,62.5,1.25,62.5,1.25,0.5,1417,6.00,0.50,50.0,32.0,2498,2.8,1.06,1.31
254,XtremeDominators,S13,RS,5,0.0%,0.22,1462,-633,24:01,4.4,19.6,0.4,10.6,60.0,-,0.40,13.3,0.20,10.0,0.40,-1.8,-5365,3.00,0.00,0.0,28.2,1456,2.0,0.56,0.62
255,ZennIT Gaming,S13,BE,4,25.0%,0.68,1728,-102,35:21,12.5,18.5,5.0,8.3,25.0,25.0,2.25,39.6,1.00,50.0,0.75,0.0,-122,3.25,0.50,33.3,30.9,2148,3.0,0.84,1.11
256,Zero Tenacity,S13,PL,7,85.7%,1.79,1998,340,30:16,19.1,10.7,8.3,2.9,85.7,85.7,1.86,43.8,1.57,78.6,0.86,1.3,4207,7.29,1.00,83.3,31.7,2518,3.0,0.95,1.29
257,ZETA,S13,ES,6,33.3%,0.52,1662,-254,34:25,7.5,14.5,4.0,9.8,16.7,-,1.33,28.1,0.67,33.3,1.17,0.0,-1593,1.17,0.50,22.2,31.5,1660,2.9,0.94,1.27
